ID,VIN,Prix,Kilometrage
AT_0001,1FA6P8CF7R5408764,43500,16795
AT_0002,1FA6P8R01N5554316,65950,2850
AT_0003,1ZVHT89S085135102,20000,97500
AT_0004,1FA6P8JZ7K5552155,87500,7750
AT_0005,1FA6P8CF7K5178777,79000,19800
AT_0006,1FA6P8SJ4M5500347,94500,1200
AT_0007,1FA6P8JZ0K5550170,64000,5780
AT_0008,1FA6P8R07P5501414,56800,1145
AT_0009,1FAFP42R94F189961,,27300
AT_0010,1FAFP45X31F124383,,54700
AT_0011,1FAFP49Y63F405809,5250,26600
AT_0012,1ZVBP8JS6C5257882,60000,5500
AT_0013,1ZVBP8JZ2D5236381,26250,68400
AT_0014,1FAFP48Y43F319707,18000,51900
AT_0015,1ZVHT82H675294915,,11400
AT_0016,1FATP8UH7N5131420,25275,20618
AT_0017,1FA6P8CF6R5409582,39575,15092
AT_0018,1FATP8UH1P5100456,21995,51235
AT_0019,1FA6P8CF1L5118351,28895,76074
AT_0020,1FA6P8TH0R5125883,24999,41873
AT_0021,1FA6P8TH2R5113525,29500,26130
AT_0022,1FA6P8CF1R5409182,46955,9072
AT_0023,1FA6P8TH6P5103545,26000,27265
AT_0024,1FA6P8R07N5551078,52995,3205
AT_0025,1FA6P8CF4K5146479,26995,65993
AT_0026,1FA6P8CF0K5163618,29899,50052
AT_0027,1FA6P8THXG5231433,15491,72593
AT_0028,1FA6P8AM8G5323107,15988,86266
AT_0029,1FA6P8AM0G5268572,17499,56987
AT_0030,1FA6P8CFXF5396508,23899,75259
AT_0031,1FA6P8CF5J5126594,32988,18725
AT_0032,1FA6P8TH3N5131011,26000,18312
AT_0033,1FA6P8TH1F5319253,15990,86775
AT_0034,4T1DAACK2SU025944,27777,31096
AT_0035,4T1BD1FK6CU050020,9000,124500
AT_0036,4T1C31AK6LU013497,16995,123620
AT_0037,4T4BE46K29R124921,9999,33517
AT_0038,4T1DAACK1SU042587,31582,16665
AT_0039,4T1T11AKXPU174284,24800,24479
AT_0040,4T1G11AK6NU685683,23695,32037
AT_0041,4T1G11AKXMU480799,20695,57558
AT_0042,4T1BF1FKXFU488618,14998,112827
AT_0043,4T1DAACK0SU539016,25359,31557
AT_0044,4T1DAACK7SU545931,25586,23463
AT_0045,4T1DAACK1SU567679,25778,20652
AT_0046,4T1DAACK0SU073460,25895,9966
AT_0047,4T1DAACK1SU518207,27400,15352
AT_0048,4T1DAACK1SU165371,28300,6403
AT_0049,4T1DAACK9SU089513,28995,3673
AT_0050,4T1DAACK2SU513775,29000,12449
AT_0051,4T1DAACK5SU603101,29996,4555
AT_0052,4T1DAACK0SU112855,33600,10215
AT_0053,4T1DAACK5SU108493,35977,6165
AT_0054,4T1C11AKXRU866872,20998,73727
AT_0055,4T1C11AK3RU880404,22300,37177
AT_0056,4T1G11AK4RU235133,23399,26548
AT_0057,4T1G11AK3RU864706,25495,40645
AT_0058,4T1G11AK1PU736283,22894,72998
AT_0059,4T1G11AK3PU815180,22999,68732
AT_0060,4T1T11AK2PU118422,23300,41976
AT_0061,4T1G11AKXPU101921,23999,24518
AT_0062,4T1C11AK9NU718500,17999,67499
AT_0063,4T1K61AK6NU012453,24500,75773
AT_0064,4T1G31AK8MU028781,19450,100990
AT_0065,4T1BE32K24U344790,13994,142893
AT_0066,4T1DAACK6SU058056,25257,28642
AT_0067,4T1DAACKXSU546541,31839,8586
AT_0068,4T1C11AK1RU850267,21000,44052
AT_0069,4T1G11AK4RU248092,25000,34764
AT_0070,4T1G11AK2RU210344,25105,15616
AT_0071,4T1R11AKXPU782204,20999,49009
AT_0072,4T1G11AK0PU772885,21998,46600
AT_0073,4T1C11AKXPU168730,22503,59657
AT_0074,4T1G11AK5PU734696,23449,63527
AT_0075,4T1T11AK6PU829556,24318,48672
AT_0076,4T1G11AK5MU514356,18688,86402
AT_0077,4T1C31AK4MU031398,22995,48806
AT_0078,4T1B11HK9KU787815,18250,79335
AT_0079,4T1B11HKXKU725162,21995,58655
AT_0080,4T1BF1FK8GU235377,12695,123766
AT_0081,4T1BF1FK5FU114367,11995,113006
AT_0082,4T1BF1FK9FU909552,13740,96540
AT_0083,4T1DAACK8SU120167,36000,7159
AT_0084,4T1K31AK1RU072820,27998,60601
AT_0085,4T1G11AK7PU817126,21998,80926
AT_0086,4T1DBADK9TU549783,34339,
AT_0087,4T1DBADK1TU549762,34823,
AT_0088,4T1DBADK1TU549891,42274,
AT_0089,4T1DBADK0TU549767,42274,
AT_0090,4T4BF1FK4DR299319,12995,93426
AT_0091,4T1DBADK3TU549732,34814,
AT_0092,4T1DBADK1TU549681,40128,
AT_0093,4T1DBADK4TU549688,42023,
AT_0094,4T1DBADK2TU045897,34734,
AT_0095,4T1DBADK4TU549593,40443,
AT_0096,4T1DBADK6TU045739,43529,
AT_0097,4T1DBADK9TU045878,46718,
AT_0098,4T1DBADK4TU045707,33859,
AT_0099,4T1DBADK3TU549326,39368,
AT_0100,4T4BF1FK0ER406691,11998,98885
AT_0101,4T1DAACK7TU690453,33773,
AT_0102,4T1DAACK4TU246995,34074,
AT_0103,4T1DBADK4TU045352,41959,
AT_0104,4T1DBADK8TU045175,32364,
AT_0105,4T1DAACK3TU246437,34239,
AT_0106,4T1DAACK4TU687719,32499,
AT_0107,4T1DBADK1TU044952,33380,
AT_0108,4T1DAACK6TU244973,35684,
AT_0109,4T1DBADK0TU548845,39939,
AT_0110,4T1DBADK6TU045028,41959,
AT_0111,4T1DBADK9TU044889,43604,
AT_0112,4T1DAACK6TU244083,32473,
AT_0113,4T1DBADK6TU044798,41799,
AT_0114,4T1DBADKXTU548514,38529,
AT_0115,2T3H1RFV7SC355657,31742,66
AT_0116,2T3P1RFV6SW613919,37118,66
AT_0117,2T3Y1RFV6NW193328,29998,59633
AT_0118,JTMBFREV8JJ178993,18900,95428
AT_0119,2T3W1RFV6SW377106,29400,11714
AT_0120,4T3LWRFV9SU188518,29500,24872
AT_0121,2T3P1RFV9SW544160,30470,14871
AT_0122,2T3W1RFV3RC290663,28595,12583
AT_0123,2T3C1RFV7RW328400,29994,29460
AT_0124,4T3B6RFV5NU102069,34000,30307
AT_0125,2T3H1RFV9KW003663,19994,90958
AT_0126,JTMRJREV8HD142954,17888,104347
AT_0127,2T3W1RFV1SC327263,27364,20420
AT_0128,2T3P1RFV1SW534576,31057,10959
AT_0129,2T3C1RFV7SW410892,33500,4417
AT_0130,2T3W1RFV1RC286708,33977,28
AT_0131,2T3W1RFVXPW242685,25999,68494
AT_0132,2T3H1RFV1PW292772,26916,19441
AT_0133,2T3W1RFV5NW203998,24250,51755
AT_0134,4T3RWRFV8NU054128,25295,77821
AT_0135,2T3K1RFV9MC165125,23674,34561
AT_0136,2T3BFREV2DW058175,13999,81250
AT_0137,JTMZD33V785099189,9820,85579
AT_0138,2T3W1RFV3SC308522,27300,31850
AT_0139,2T3K1RFV3SC318398,27500,15912
AT_0140,JTMK1RFV6SD135203,29500,3921
AT_0141,2T3P1RFV5SW532264,30756,11418
AT_0142,4T3LWRFV6SU182093,32121,22701
AT_0143,2T3F1RFV2RW417269,25000,45737
AT_0144,2T3W1RFV1RW326655,26500,51622
AT_0145,JTMMWRFV0RD234118,27900,43509
AT_0146,2T3B6RFV6RW054572,36288,25091
AT_0147,2T3B6RFV6RW069007,36421,11031
AT_0148,2T3P1RFV0PW379851,26998,55709
AT_0149,2T3C1RFV9PC245730,28591,33126
AT_0150,4T3D6RFV4NU079103,35000,39340
AT_0151,2T3W1RFV9MW114451,20864,81268
AT_0152,2T3C1RFV9MW152152,21799,115487
AT_0153,2T3H1RFV9MC095135,24988,53248
