ID,VIN,Prix,Kilometrage
CG_0001,WMWLU5C56J2G03126,22535.0,85041
CG_0002,1HGCV2F33NA018961,20815.0,79938
CG_0003,1C4RDHAG0MC847255,40995.0,42032
CG_0004,1G1YM2D77E5134016,41595.0,48247
CG_0005,WBSKG9C58CE797730,15497.0,121499
CG_0006,1C4HJXDN3KW588524,22900.0,103485
CG_0007,3TMAZ5CN1JM057076,31498.0,55845
CG_0008,1C6SRFMT9PN620887,19354.0,57730
CG_0009,5XXG14J24PG220463,12900.0,93469
CG_0010,2C3CCAEG1HH586784,9997.0,128433
CG_0011,2T3ZFREV9EW085440,10495.0,82200
CG_0012,WBAFR7C5XDC820720,28577.0,39628
CG_0013,4S4BTGUD4R3294452,43998.0,24312
CG_0014,2GCUDGED4P1149553,12997.0,110014
CG_0015,JF2SKAAC6LH553602,12999.0,149763
CG_0016,3C6TRVAG6JE112443,5999.0,101136
CG_0017,1FADP3N24EL422356,14995.0,84340
CG_0018,NM0LS6E76J1349656,13999.0,91050
CG_0019,3LN6L5FC8HR612597,16500.0,93248
CG_0020,WVGEP9BP6FD006995,16488.0,38531
CG_0021,3FA6P0D91KR109168,35995.0,111362
CG_0022,5TFLA5DBXPX099298,NULL,20
CG_0023,3GCUKSEJ6JG503117,11153.0,76958
CG_0024,1N4BL4BV2KC201065,31597.0,32764
CG_0025,4T3D6RFV1NU091872,40995.0,42032
CG_0026,1FTEW1C80PKD69886,NULL,21
CG_0027,58AEA1C15SU058215,41000.0,29372
CG_0028,1C6SRFHT5MN540637,15888.0,119313
CG_0029,5FNYF6H0XGB018929,40995.0,42032
CG_0030,1FMEE5BP0NLB10014,NULL,19
CG_0031,5TFSX5EN9JX061846,30990.0,18387
CG_0032,1FMSK8DH8PGB89513,34288.0,15429
CG_0033,2T3E6RFVXSW085486,40995.0,42032
CG_0034,5J8YD3H87KL010014,NULL,23
CG_0035,KNDPZDAH4P7076659,11990.0,136247
CG_0036,2G61M5S38J9171988,18975.0,115252
CG_0037,2T2ZZMCA4GC010664,40995.0,42032
CG_0038,1C4RJEAG3KC543485,NULL,22
CG_0039,1FTBW9CK7NKA66145,41999.0,18529
CG_0040,1G1YD2D79F5125464,27994.0,4910
CG_0041,5XYK6CDF9SG244668,40995.0,42032
CG_0042,4T1DBADK7SU009363,NULL,44
CG_0043,1GKKNKLA0KZ250819,18601.0,86434
CG_0044,7FARW1H85HE037486,47588.0,31852
CG_0045,5TFNA5DB6PX078652,40995.0,42032
CG_0046,5TDZK3EH9BS024413,NULL,87256
CG_0047,5TDGBRCH1MS059446,16988.0,50326
CG_0048,LRBFX4SX8JD049446,19995.0,37130
CG_0049,WMW53DK01N2R06412,40995.0,42032
CG_0050,KM8J33A46JU615320,NULL,26
CG_0051,1C4RJKBGXP8792907,14314.0,124128
CG_0052,1HGCR6F52FA009019,28197.0,36099
CG_0053,2GCVKREC6J1112668,40995.0,42032
CG_0054,1C4HJXDG6MW712435,NULL,20
CG_0055,1HGCV2F96NA006355,33997.0,124630
CG_0056,1GT12ZE86FF574836,21588.0,67103
CG_0057,WP1AA2A5XJLB01522,40995.0,42032
CG_0058,WA1BCCFS0HR009597,NULL,24
CG_0059,2HGFE1F75NH329531,18891.0,49789
CG_0060,KNDCB3LC2N5545853,23806.0,46408
CG_0061,WAUEAAF4XPA010765,40995.0,42032
CG_0062,1GC2CUEG0GZ289819,NULL,142227
CG_0063,1FATP8UH5N5124689,39337.0,26990
CG_0064,1FA6P8CF3R5410219,8991.0,105375
CG_0065,5NPD84LF6JH393198,40995.0,42032
CG_0066,1FTEW3LP9RKF60034,NULL,20
CG_0067,1FTEX1EP5JKF37918,11591.0,103442
CG_0068,19XFB2F95EE230301,45888.0,3038
CG_0069,1C4PJXFG3RW251890,40995.0,42032
CG_0070,JTNKARJE2HJ527544,NULL,224
CG_0071,KL79MRSL0PB146997,10964.0,108012
CG_0072,1G1105S3XHU115906,45269.0,5023
CG_0073,5TDJSKFC7SS193436,40995.0,42032
CG_0074,3GCPCPEH9JG245387,36998.0,24287
CG_0075,5FNYG1H58RB016756,22599.0,126298
CG_0076,1GNSKBKCXJR265468,40995.0,42032
CG_0077,1G1FB1RS8J0180658,NULL,24
CG_0078,KL4CJDSB1EB614318,19999.0,31667
CG_0079,ZACNJDC14PPP34897,13994.0,51094
CG_0080,3FA6P0UU6JR122694,40995.0,42032
CG_0081,JN8AY2ND5K9088552,NULL,16
CG_0082,5YJ3E1EB1NF121983,9995.0,71337
CG_0083,1N4AZ1CP9JC306645,38656.0,18809
CG_0084,1GCPTDEK2S1115557,40995.0,42032
CG_0085,WA1DECF31N1090731,NULL,24
CG_0086,5XYP5DGC8RG436304,30499.0,25180
CG_0087,3C6MRVJG7NE104491,18990.0,57031
CG_0088,WDDWF8DB7KR458089,40995.0,42032
CG_0089,3VVRB7AX9RM199776,NULL,27
CG_0090,3MW5R1J02N8C46977,28597.0,15168
CG_0091,5YJYGDEE7MF297866,13999.0,70088
CG_0092,1G1ZD5ST7KF225122,40995.0,42032
CG_0093,JTDEAMDE5MJ014850,NULL,53
CG_0094,3GCPYFED4KG203624,33497.0,41194
CG_0095,3TMCZ5AN1MM424204,22888.0,14070
CG_0096,WAUAUDGY6PA025756,40995.0,42032
CG_0097,3FADP4BJ4JM101010,NULL,53355
CG_0098,1C4RJXN60RW201918,32888.0,46894
CG_0099,WBA7T2C00LGL18125,43795.0,7046
CG_0100,JHMFL5G40RX002454,40995.0,42032
CG_0101,3N1AB8CV6RY329585,NULL,35
CG_0102,1G6YV36A485601371,23966.0,112574
CG_0103,1C6RR7VM3JS254266,39448.0,19155
CG_0104,5TFLA5DB9RX225718,40995.0,42032
CG_0105,WA1ACBGE3NB043262,NULL,73
CG_0106,3FA6P0H70HR415103,24138.0,58853
CG_0107,4T1G11AK4RU248092,40995.0,42032
CG_0108,3GCPABEK1PG312612,NULL,20
