ID,VIN,Prix,Kilometrage
CARS_0001,SALWR2SU9LA729875,27995,59303
CARS_0002,WDDZF4KB5HA094948,15995,114876
CARS_0003,1HGCY1F32RA011779,23542,34346
CARS_0004,5J8YE1H0XPL036027,41995,20959
CARS_0005,2HGFC4B66KH300507,17899,54011
CARS_0006,5N1AT2MVXLC795151,19999,34610
CARS_0007,5NMMDDTC9TH042495,58995,1742
CARS_0008,JF2SJALC0HH438002,15500,82761
CARS_0009,JM3KFBDM6K0618000,19995,25483
CARS_0010,JF2SKAEC4NH458825,23898,5259
CARS_0011,5J8TC2H63ML035484,26424,68222
CARS_0012,3VV2B7AX4PM090334,19495,67551
CARS_0013,2C3CDXGJ7JH233738,26888,67205
CARS_0014,JA4J4UA80NZ034120,18895,57009
CARS_0015,7SAYGDEF4NF555841,27995,45328
CARS_0016,5YJYGDEEXMF245518,25820,46880
CARS_0017,WMZ83BR09P3P75284,27499,28916
CARS_0018,1N4BL4DV0NN384410,19987,54696
CARS_0019,JM3KFBEM2P0147372,28389,21415
CARS_0020,3VVFB7AX5RM082361,22495,8874
CARS_0021,5XYP3DHCXMG129651,26995,63576
CARS_0022,4S4BTGLD7P3148660,27295,19602
CARS_0023,5XYRHDJF7RG270845,35277,5056
CARS_0024,3VV2B7AXXMM126927,19695,38452
CARS_0025,5XYP5DHC5LG060991,18995,98477
CARS_0026,WMW53DH06P2T78490,22999,25294
CARS_0027,1GYKNBR4XNZ171959,27985,20928
CARS_0028,1HGCY1F30RA008234,26079,25568
CARS_0029,3VV2B7AX2MM033612,19000,49900
CARS_0030,2HGFE2F52NH524247,20601,50223
CARS_0031,5UX53DP09R9T63026,44398,35975
CARS_0032,5UX53DP04P9R62123,39695,14220
CARS_0033,WA1GAAFY6S2055021,43888,7728
CARS_0034,1HGCY1F27RA016967,21689,63063
CARS_0035,5J8YE1H49PL022543,41795,33897
CARS_0036,5J8TC2H58KL028048,19995,94218
CARS_0037,WA1GAAFY8N2050309,30062,37062
CARS_0038,ZN661XUA5NX400572,31537,47480
CARS_0039,19XFL2H82PE018251,22800,32101
CARS_0040,3VV0B7AX9NM122490,19997,38579
CARS_0041,JF2SKANC6NH441573,26995,24168
CARS_0042,3VV2B7AX9MM001448,16839,73670
CARS_0043,WA15AAFY9P2008774,32198,29093
CARS_0044,JM3KFBDM7P0150852,24929,23485
CARS_0045,5N1DL1FS6RC339683,38799,12523
CARS_0046,3VV2B7AXXMM126927,19695,38452
CARS_0047,3GCUYEED9LG411853,34588,47447
CARS_0048,1HGCY1F44SA017470,27850,13280
CARS_0049,ZASPAKAN2N7D41794,21095,29978
CARS_0050,5J8TC2H5XRL017207,38500,18191
CARS_0051,2HGFC2F65MH545042,18895,27148
CARS_0052,WVGBV3AX4EW541527,8912,104883
CARS_0053,5UX83DP06P9R28441,51888,19404
CARS_0054,2HGFC2F85LH503552,17795,59179
CARS_0055,YV4A22RL1M1733310,17790,105000
CARS_0056,1HGCV1F39LA144619,20577,71636
CARS_0057,5J8YE1H48RL016140,44995,20362
CARS_0058,1V2BR2CA3NC514136,32867,49987
CARS_0059,5XYRHDJF7RG270845,35277,5056
CARS_0060,3TMGZ5AN7PM555739,38943,27961
CARS_0061,WA1FAAFY2P2162733,38500,15936
CARS_0062,2T2BAMCA1RC057209,45991,16956
CARS_0063,5J8TC2H76SL025134,45998,5240
CARS_0064,5J8YE1H40PL024424,39500,37268
CARS_0065,1N4BL4BV4MN372830,13997,39412
CARS_0066,5NMS2CAD6KH115291,10987,59583
CARS_0067,ZARFANBN0P7668658,26295,32748
CARS_0068,WA1AAAF75KD002098,18490,94717
